#Chiens
Rottweiler, chiens, moyen
Pitbull, chiens, facile
Saint-Bernard, chiens, difficile
Labrador, chiens, moyen
berger allemand, chiens, moyen
malinois, chien, difficile

#Légumes
Concombre, legumes, facile
Courgette, legumes, moyen
Radis, legumes, facile
Tomate, legumes, facile
Avocat, legumes, moyen
manioc, legumes, difficile
patate douce, legumes, difficile

#Fruits
Ananas, fruits, moyen
Pomme, fruits, facile
Poire, fruits, facile
Melon, fruits, facile
Grenade, fruits, moyen
Cerise, fruits, moyen
Fraise, fruits, facile
noix de coco, fruits, difficile
